LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0029,,[NH3+]CCCNC1=NC2=C(C=C1)C=CC1=C2N=C(NCCCNC(=O)CC[NH2+]CCC(=O)NCCCNC2=NC3=C(C=C2)C=CC2=C3N=C(NCCC[NH3+])C=C2)C=C1,DDAP,10.1002/chem.201804368,C,r(CGG)9,Binds,"Ligand = NR, RNA = 5 µM",10 mM sodium cacodylate (pH = 7.0) and 100 mM NaCl,Off-Target Effect,Isothermal Titration Calorimetry,"2 µL of DDAP (300 µM) was titrated every 2 min into buffer solution containing repeat RNA. Difficult to fit to the theoretical binding isotherm, mainly because the repeat hairpin potentially holds multiple binding sites with different affinity to DDAP binding",-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0029,,[NH3+]CCCNC1=NC2=C(C=C1)C=CC1=C2N=C(NCCCNC(=O)CC[NH2+]CCC(=O)NCCCNC2=NC3=C(C=C2)C=CC2=C3N=C(NCCC[NH3+])C=C2)C=C1,DDAP,10.1002/chem.201804368,,r(CUG)20,Ki = 41 nM,"Ligand = 0.4, 0.7, 1.5, 3.1, 6.2, 12.5, 25, 50, 100, and 200 nM, RNA = 0.1 nM, Protein = 15 nM","50 mM NaCl, 50 mM KCl, 50 mM Tris-HCl, (pH = 8).0 1 mM MgCl2, and 0.05% Tween 20",Protein displacement,Filter Binding,5'-32P-labeled r(CUG)20,-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0029,,[NH3+]CCCNC1=NC2=C(C=C1)C=CC1=C2N=C(NCCCNC(=O)CC[NH2+]CCC(=O)NCCCNC2=NC3=C(C=C2)C=CC2=C3N=C(NCCC[NH3+])C=C2)C=C1,DDAP,10.1002/chem.201804368,,r(CUG)20,"Ki = 0.30 µM, IC50 = 0.615 µM","Ligand = 0.18-180 µM, RNA = 0.6 nM, Protein = 400 nM","50 mM Tris-acetate (pH = 8.0), 50 mM NaCl, 50 mM KCl, 1 mM MgCl2, 12.5% (v/v) glycerol",Protein displacement,Electrophoretic Mobility Shift,5'-32P-labeled r(CUG)20,"Control with no ligand, control with RNA only",,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0030,,CCC1=NC2=CC=CC=C2C=C1C(=O)N(C)[C@@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2CC)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4,10.1016/j.bmc.2019.05.009,,HIV-1 FSS,Kd = 497 ± 157 nM;  Kon = 6.49 X 10^4 1/M*sec; Koff = 2.37 X 10^-2 1/sec,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Binding,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,-,,HEK 293FT Cells,Significant decrease in cell viability at concentrations below 40 µM,Ligand = 0-100 µM,Cytotoxicity,WST-1,Experiment conducted 24 hours after addition of compound,-,,,,,,,,,,,,,,,
R-BIND (LM) 0030,,CCC1=NC2=CC=CC=C2C=C1C(=O)N(C)[C@@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2CC)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 4,10.1016/j.bmc.2019.05.009,C,"HIV-1 FSS,  5-fold excess tRNA",Kd = 132 ± 34.5 nM,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Off-Target Effect,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,Neomycin was used as a negative control,,MT-2 Cells,Strong dose-response; Decreased the amount of virus produced at 25 µM ligand,"Ligand = 2.5, 10, and 25 µM",Antiviral Activity,ELISA,"p24 protein; Cells were infected with HIV-1(IIIB) at a concentration of 32.41 ng p24/mL (as calibrated by p24 ELISA) and then incubated with the compound for 6 days; On days 2 and 4 post-infection, a portion of medium (0.3  mL) was removed and replenished ","Compared to infected cells without compound and infected cells treated with Compound 3, a positive control with antiviral activity (IC50 = 4.86 µM)",,,,,,,,,,,,,,,
R-BIND (LM) 0031,,CCC1=NC2=CC=CC=C2C=C1C(=O)N(C)[C@@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2CC)C(=O)N2C[C@H](O)C[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1C[C@H](O)C[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 5,10.1016/j.bmc.2019.05.009,,HIV-1 FSS,Kd = 583 ± 202 nM; Kon = 1.49 X 10^4 1/M*sec; Koff = 6.80 X 10^-3 1/sec,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Binding,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,-,,HEK 293FT Cells,No significant decrease in cell viability at concentrations below 40 µM,Ligand = 0-100 µM,Cytotoxicity,WST-1,Experiment conducted 24 hours after addition of compound,-,,,,,,,,,,,,,,,
R-BIND (LM) 0031,,CCC1=NC2=CC=CC=C2C=C1C(=O)N(C)[C@@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2CC)C(=O)N2C[C@H](O)C[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1C[C@H](O)C[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],Compound 5,10.1016/j.bmc.2019.05.009,C,"HIV-1 FSS,  5-fold excess tRNA",Kd = 441 ± 121 nM,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Off-Target Effect,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,Neomycin was used as a negative control,,MT-2 Cells,Strong dose-response; Decreased the amount of virus produced at 25 µM ligand,"Ligand = 2.5, 10, and 25 µM",Antiviral Activity,ELISA,"p24 protein; Cells were infected with HIV-1(IIIB) at a concentration of 32.41 ng p24/mL (as calibrated by p24 ELISA) and then incubated with the compound for 6 days; On days 2 and 4 post-infection, a portion of medium (0.3  mL) was removed and replenished ","Compared to infected cells without compound and infected cells treated with Compound 3, a positive control with antiviral activity (IC50 = 4.86 µM)",,,,,,,,,,,,,,,
R-BIND (LM) 0032,,CN([C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)[C@@H]1CCCN1C(=O)[C@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)N(C)C(=O)C1=CC2=CC=CC=C2N=C1,Compound 6,10.1016/j.bmc.2019.05.009,,HIV-1 FSS,Kd = 62.2 ± 21.3 nM; Kon = 5.66 X 10^4 1/M*sec; Koff = 2.26 X 10^-3 1/sec,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Binding,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,-,,HEK 293FT Cells,No significant decrease in cell viability at concentrations below 40 µM,Ligand = 0-100 µM,Cytotoxicity,WST-1,Experiment conducted 24 hours after addition of compound,-,,,,,,,,,,,,,,,
R-BIND (LM) 0032,,CN([C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)[C@@H]1CCCN1C(=O)[C@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)N(C)C(=O)C1=CC2=CC=CC=C2N=C1,Compound 6,10.1016/j.bmc.2019.05.009,C,"HIV-1 FSS,  5-fold excess tRNA",Kd = 124 ± 37.4 nM,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Off-Target Effect,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,Neomycin was used as a negative control,,MT-2 Cells,Strong dose-response; Decreased the amount of virus produced at 25 µM ligand,"Ligand = 2.5, 10, and 25 µM",Antiviral Activity,ELISA,"p24 protein; Cells were infected with HIV-1(IIIB) at a concentration of 32.41 ng p24/mL (as calibrated by p24 ELISA) and then incubated with the compound for 6 days; On days 2 and 4 post-infection, a portion of medium (0.3  mL) was removed and replenished ","Compared to infected cells without compound and infected cells treated with Compound 3, a positive control with antiviral activity (IC50 = 4.86 µM)",,,,,,,,,,,,,,,
R-BIND (LM) 0032,,CN([C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)[C@@H]1CCCN1C(=O)[C@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)N(C)C(=O)C1=CC2=CC=CC=C2N=C1,Compound 6,10.1016/j.bmc.2019.05.009,,Mixture of RNAs,"Preferentially binds to the HIV-1 FSS RNA . Appreciable binding also observed to two RNA hairpins derived from IRF5 (shorter stem)  and BDNF (sequence of tetraloop is GAUG) mRNAs, respectively","Ligand = 2.0 µM, RNA = 2.5 µM",1X PBS and 1 mM EDTA,Binding,Competition Dialysis,"8 tetraloop hairpins: HIV-1 FSS (ACAA), CXC (CCAG), IRF5 (ACAA), NRAS (UUUA), IL15 (UCUG), APOL3 (AGCA), PML (GCGA), FBX (AGAA), and BDNF (GAUG)",Control with no RNA,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0033,,CN([C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2)C(=O)N2C[C@H](O)C[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)N(C)C(=O)C1=CC2=CC=CC=C2N=C1,Compound 7,10.1016/j.bmc.2019.05.009,,HIV-1 FSS,Kd = 110 ± 34.2 nM; Kon = 6.74 X 10^4 1/M*sec; Koff = 5.42 X 10^-3 1/sec,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Binding,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,-,,HEK 293FT Cells,No significant decrease in cell viability at concentrations below 40 µM,Ligand = 0-100 µM,Cytotoxicity,WST-1,Experiment conducted 24 hours after addition of compound,-,,,,,,,,,,,,,,,
R-BIND (LM) 0033,,CN([C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](CCN1C=C(C[C@H](N(C)C(=O)C2=CC3=CC=CC=C3N=C2)C(=O)N2C[C@H](O)C[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)N(C)C(=O)C1=CC2=CC=CC=C2N=C1,Compound 7,10.1016/j.bmc.2019.05.009,C,"HIV-1 FSS,  5-fold excess tRNA",Kd = 183 ± 32.5 nM,NR,"10 mM HEPES (pH = 7.4), 150 mM NaCl, 3 mM EDTA, 0.005% Tween 20",Off-Target Effect,Surface Plasmon Resonance,Biotinylated RNA was immobilized to streptavidin-containing surface. 2000 RU of RNA was immobilized. Compound was injected for one minute. At least two injections were performed for each concentration. The two lowest compound concentrations with enough response to be fit reliably were used for final fitting and Kd determination. Curves were fit to a 1:1 Langmuir binding model.,-,,MT-2 Cells,Strong dose-response; Decreased the amount of virus produced at 25 µM ligand,"Ligand = 2.5, 10, and 25 µM",Antiviral Activity,ELISA,"p24 protein; Cells were infected with HIV-1(IIIB) at a concentration of 32.41 ng p24/mL (as calibrated by p24 ELISA) and then incubated with the compound for 6 days; On days 2 and 4 post-infection, a portion of medium (0.3  mL) was removed and replenished ","Compared to infected cells without compound and infected cells treated with Compound 3, a positive control with antiviral activity (IC50 = 4.86 µM)",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,RNA 1 (Drosha 885),Kd = >100 µM,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),RNA 1 displays the motif found in the Drosha site of pri-miR-885. Measured at 460 nm,-,,MCF-7 Cells,Competed off binding of Targaprimir-515/885-CA-Biotin ,"Ligand = 5 µM, Targaprimir-515/885-CA-Biotin = 0.5 µM",On-Target Effect,Competitive Chem-CLIP,Targaprimir-515/885-CA-Biotin is a derivative of Targaprimir-515/885 that contains purification (biotin) and cross-linking (chlorambucil) modules; Performed a competitive experiment with Targaprimir-515 and Targaprimir-515/885-CA-Biotin; Cells treated for 24 hours,"Compared to cells treated only with Targaprimir-515/885-CA-Biotin; Validated Targaprimir-515/885-CA-Biotin enriched levels of miR-515 in the pulled down fraction (quantified by RT-qPCR) as compared to the target levels before pull-down; Enrichment of miR-515 by Targaprimir-515/885-CA-Biotin is significantly greater than background RNA pulled down by Control-CA-Biotin, a control Chem-CLIP probe lacking RNA-binding modules",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,RNA 2 (Drosha 515),Kd = >100 µM,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),RNA 2 displays the motif found in the Drosha site of pri-miR-515,-,C,MCF-7 Cells,Did not significantly compete off binding of Targaprimir-515/885-CA-Biotin to pri-miR-885,"Ligand = 5 µM, Targaprimir-515/885-CA-Biotin = 0.5 µM",Off-Target Effect,Competitive Chem-CLIP,Targaprimir-515/885-CA-Biotin is a derivative of Targaprimir-515/885 that contains purification (biotin) and cross-linking (chlorambucil) modules; Performed a competitive experiment with Targaprimir-515 and Targaprimir-515/885-CA-Biotin; Cells treated for 24 hours,"Compared to cells treated only with Targaprimir-515/885-CA-Biotin; Validated Targaprimir-515/885-CA-Biotin enriched levels of miR-515 in the pulled down fraction (quantified by RT-qPCR) as compared to the target levels before pull-down; Enrichment of miR-515 by Targaprimir-515/885-CA-Biotin is significantly greater than background RNA pulled down by Control-CA-Biotin, a control Chem-CLIP probe lacking RNA-binding modules",,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,RNA 3 (adjacent to Drosha 515),Kd = >100 µM,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),RNA 3 displays the adjacent binding site in pri-miR-515,-,,MCF-7 Cells,IC50 = ~0.2 µM,"Ligand = 0.05, 0.5, and 5 µM",RNA Abundance,RT-qPCR,Tested miR-515; Cells were treated for 48 hours,Compared to untreated cells; RNA expression levels were normalized with U6 small nuclear RNA; Vivo-Morpholino antisense oligonucleotide reduced levels of mature miR-515 with an IC50 = ~6 µM as compared to a scramble vivo-morpholino antisense oligonucleotide,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,RNA 4 (Drosha and adjacent 515),Kd = 0.06 ± 0.01 µM,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),RNA 4 contains both the Drosha site and the adjacent binding site in pri-miR-515,-,C,MCF-7 Cells,Did not significantly decrease levels,"Ligand = 0.05, 0.5, and 5 µM",RNA abundance,RT-qPCR,Tested miR-885; Cells were treated for 48 hours,Compared to untreated cells; RNA expression levels were normalized with U6 small nuclear RNA; Vivo-Morpholino antisense oligonucleotide reduced levels of mature miR-515 with an IC50 = ~6 µM as compared to a scramble vivo-morpholino antisense oligonucleotide,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,tRNA,Kd = >100 µM,Ligand = 0.5 µM,"8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,MCF-7 Cells,Increased pri-miR-515 levels,Ligand = 0.5 and 5 µM,RNA Abundance,RT-qPCR,Tested pri-miR-515; Cells were treated for 48 hours,Compared to untreated cells; RNA expression levels were normalized with 18S RNA,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,DNA hairpin,Kd = >100 µM,"Ligand = 0.5 µM, DNA= 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,-,,MCF-7 Cells,Cell-permeable,Ligand = 0.5 µM,Cell Uptake,Flow cytometry,Propidium iodide stain,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,,pri-miR-515,Kd = 940 ± 260 nM,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),Contains 1x1 nucleotide internal loops in its Drosha site and a base paired region in its Dicer site,-,,MCF-7 Cells,Nontoxic,Ligand = 0.5 µM,Cytotoxicity,Flow cytometry,Cells treated with compound for 24 hours; Propidium iodide stain,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,pri-miR-21,Saturable binding not observed,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),Contains a base paired region in its Drosha site and a 5' bulge in its Dicer site,-,,MCF-7 Cells,Significantly decreased both the 5p and 3p mature miR-515 strands,Ligand = 0.5 and 10 µM,RNA Abundance,RT-qPCR,Tested miR-515-5p and miR-515-3p; Cells treated with compound for 48 hours,Compared to untreated cells; RNA expression levels were normalized to U6 small nuclear RNA,,,,,,,,,,,,,,,
R-BIND (LM) 0034,,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1,Targaprimir-515,10.1021/jacs.8b10558,C,pri-miR-107,Saturable binding not observed,"Ligand = 0.5 µM, RNA = 0.098-100 µM","8 mM Na2HPO4, 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),Contains a 1x3 nucleotide internal loop and a 5' bulge in its Dicer site,-,,MCF-7 Cells,Significantly decreases levels of miR-515 only; Shows similar selectivity profile as anti-515-5p vivo-morpholino antisense oligonucleotide (10 µM),Ligand = 0.5 µM,RNA Abundance,RT-qPCR,"Tested miRNAs predicted to target the SK1 3' UTR, a known miR-515-5p target; Cells were treated for 48 hours",Compared to untreated cells,,,,,,,,,,,,,,,
